institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
Lesley University,MA,NCAA D3,2024,167,15774,94.45508982035928,0,0.0,0.8357598594745447
University of Massachusetts-Lowell,MA,NCAA D1 (No Football),2024,429,347840,810.8158508158508,7350520,17134.079254079254,1.0367906739635233
University of Massachusetts-Amherst,MA,NCAA D1 (FBS),2024,611,1211392,1982.6382978723404,13585599,22235.022913256955,0.5509877403491238
University of Massachusetts-Boston,MA,NCAA D3,2024,374,57428,153.55080213903744,0,0.0,1.3586520013055385
Massachusetts Bay Community College,MA,2-Year (JUCO),2024,56,0,0.0,0,0.0,0.0
Massachusetts Institute of Technology,MA,NCAA D3,2024,799,91256,114.2127659574468,0,0.0,1.0105802176286758
Massachusetts Maritime Academy,MA,NCAA D3,2024,444,163241,367.6599099099099,0,0.0,3.2531374987322126
Massasoit Community College,MA,2-Year (JUCO),2024,68,0,0.0,9103,133.86764705882354,0.0
Merrimack College,MA,NCAA D1 (FCS),2024,696,268412,385.64942528735634,17192504,24701.873563218393,0.5471189055060715
Nichols College,MA,NCAA D3,2024,557,65813,118.15619389587074,0,0.0,1.0454725541447203
Massachusetts College of Liberal Arts,MA,NCAA D3,2024,212,30823,145.39150943396226,0,0.0,1.2864567459987624
Northeastern University,MA,NCAA D1 (No Football),2024,542,391210,721.789667896679,17116737,31580.69557195572,0.9229528449468688
Northern Essex Community College,MA,2-Year (JUCO),2024,127,0,0.0,0,0.0,0.0
College of Our Lady of the Elms,MA,NCAA D3,2024,201,4532,22.54726368159204,0,0.0,0.1995032555884683
Quincy College,MA,2-Year (JUCO),2024,17,0,0.0,0,0.0,0.0
Quinsigamond Community College,MA,2-Year (JUCO),2024,58,4250,73.27586206896552,0,0.0,7.695248058584477
Regis College,MA,NCAA D3,2024,285,27885,97.84210526315789,0,0.0,0.8657289331993714
Roxbury Community College,MA,2-Year (JUCO),2024,123,0,0.0,0,0.0,0.0
Salem State University,MA,NCAA D3,2024,290,2237,7.713793103448276,0,0.0,0.06825337472458845
Springfield College,MA,NCAA D3,2024,662,239041,361.0891238670695,0,0.0,3.194997707321862
Springfield Technical Community College,MA,2-Year (JUCO),2024,82,0,0.0,0,0.0,0.0
University of Massachusetts-Dartmouth,MA,NCAA D3,2024,414,46963,113.43719806763285,0,0.0,1.0037178186638698
Stonehill College,MA,NCAA D1 (FCS),2024,604,186040,308.0132450331126,10423198,17256.950331125827,0.4369768459484203
Suffolk University,MA,NCAA D3,2024,353,5483,15.53257790368272,0,0.0,0.13743573957473698
Tufts University,MA,NCAA D3,2024,919,139023,151.27638737758434,0,0.0,1.3385274684187025
Wellesley College,MA,NCAA D3,2024,273,25634,93.8974358974359,0,0.0,0.830825612255636
Wentworth Institute of Technology,MA,NCAA D3,2024,416,31795,76.43028846153847,0,0.0,0.676272366748053
Western New England University,MA,NCAA D3,2024,639,30346,47.48982785602504,0,0.0,0.4202006681789933
Westfield State University,MA,NCAA D3,2024,415,23526,56.689156626506026,0,0.0,0.50159839629613
Wheaton College (Massachusetts),MA,NCAA D3,2024,398,112146,281.77386934673365,0,0.0,2.4931985126127643
Williams College,MA,NCAA D3,2024,700,142816,204.02285714285713,0,0.0,1.8052400854162969
Worcester Polytechnic Institute,MA,NCAA D3,2024,549,66509,121.14571948998179,0,0.0,1.0719245483695063
Worcester State University,MA,NCAA D3,2024,416,7392,17.76923076923077,0,0.0,0.15722614672123314
Adrian College,MI,NCAA D3,2024,846,69375,82.00354609929079,0,0.0,0.7255858026783137
Albion College,MI,NCAA D3,2024,632,53475,84.6123417721519,0,0.0,0.7486690130071048
Alma College,MI,NCAA D3,2024,736,54087,73.48777173913044,0,0.0,0.6502363175833297
Alpena Community College,MI,2-Year (JUCO),2024,80,0,0.0,191880,2398.5,0.0
Andrews University,MI,Other,2024,66,0,0.0,0,0.0,
Aquinas College,MI,NAIA,2024,700,73331,104.75857142857143,2225649,3179.4985714285713,1.677388341620123
Bay de Noc Community College,MI,2-Year (JUCO),2024,87,665,7.64367816091954,252456,2901.793103448276,0.8027199935621454
Calvin University,MI,NCAA D3,2024,709,63747,89.9111424541608,0,0.0,0.7955539921204785
Central Michigan University,MI,NCAA D1 (FBS),2024,468,531910,1136.559829059829,6704261,14325.344017094018,0.3158571750870031
Mott Community College,MI,2-Year (JUCO),2024,125,4758,38.064,288460,2307.68,3.9973862310385067
Cleary University,MI,NAIA,2024,309,8870,28.705501618122977,2359651,7636.411003236246,0.4596308740944204
Davenport University,MI,NCAA D2,2024,697,107544,154.29555236728837,5822682,8353.919655667145,1.2288980017277844
Delta College,MI,2-Year (JUCO),2024,147,0,0.0,25000,170.06802721088437,0.0
University of Detroit Mercy,MI,NCAA D1 (No Football),2024,329,119180,362.24924012158056,4865897,14789.960486322188,0.46320830239137384
Eastern Michigan University,MI,NCAA D1 (FBS),2024,529,1341309,2535.555765595463,11086717,20957.877126654064,0.7046470066243983
Ferris State University,MI,NCAA D2,2024,388,54202,139.6958762886598,3048065,7855.837628865979,1.1126178336760753
Glen Oaks Community College,MI,2-Year (JUCO),2024,78,946,12.128205128205128,149600,1917.948717948718,1.2736738174311102
Gogebic Community College,MI,2-Year (JUCO),2024,37,853,23.054054054054053,106533,2879.2702702702704,2.4210791888738212
Grace Christian University,MI,Other,2024,154,0,0.0,0,0.0,
Cornerstone University,MI,NAIA,2024,448,9250,20.647321428571427,1692184,3777.1964285714284,0.33060374705074713
Grand Rapids Community College,MI,2-Year (JUCO),2024,184,5402,29.358695652173914,49084,266.7608695652174,3.083176906295977
Grand Valley State University,MI,NCAA D2,2024,681,145428,213.55066079295153,5741273,8430.650513950073,1.7008395659481323
Great Lakes Christian College,MI,Other,2024,106,18208,171.77358490566039,0,0.0,inf
Henry Ford College,MI,2-Year (JUCO),2024,106,0,0.0,139508,1316.1132075471698,0.0
Hope College,MI,NCAA D3,2024,629,107924,171.58028616852147,0,0.0,1.5181809273542883
Jackson College,MI,2-Year (JUCO),2024,176,0,0.0,223993,1272.6875,0.0
Kalamazoo College,MI,NCAA D3,2024,428,57900,135.2803738317757,0,0.0,1.1969911461450842
Kalamazoo Valley Community College,MI,2-Year (JUCO),2024,77,3624,47.064935064935064,120555,1565.6493506493507,4.942641955477428
Kellogg Community College,MI,2-Year (JUCO),2024,121,9000,74.3801652892562,167440,1383.801652892562,7.811219225242775
Kirtland Community College,MI,2-Year (JUCO),2024,56,10500,187.5,108000,1928.5714285714287,19.69078179696616
Lake Michigan College,MI,2-Year (JUCO),2024,133,1555,11.691729323308271,199482,1499.8646616541353,1.2278362183170881
Lake Superior State University,MI,NCAA D2,2024,164,58124,354.4146341463415,2077237,12666.079268292682,2.8227607925389555
Lansing Community College,MI,2-Year (JUCO),2024,161,3220,20.0,398675,2476.2422360248447,2.100350058343057
Lawrence Technological University,MI,NAIA,2024,570,96896,169.99298245614034,6507690,11417.0,2.7219180544437513
Macomb Community College,MI,2-Year (JUCO),2024,111,0,0.0,91723,826.3333333333334,0.0
Madonna University,MI,NAIA,2024,683,12295,18.001464128843338,4969217,7275.573938506589,0.28823842908551994
Rochester University,MI,NAIA,2024,313,7238,23.124600638977636,3600209,11502.26517571885,0.37026980215065436
University of Michigan-Ann Arbor,MI,NCAA D1 (FBS),2024,910,6057451,6656.539560439561,31170894,34253.72967032967,1.8498945041498942
Michigan State University,MI,NCAA D1 (FBS),2024,665,2908033,4372.981954887218,19484982,29300.724812030076,1.2152793822738637
Michigan Technological University,MI,NCAA D2,2024,367,152363,415.15803814713894,5592457,15238.302452316077,3.306555993693109
University of Michigan-Dearborn,MI,NAIA,2024,237,6919,29.19409282700422,43500,183.54430379746836,0.46745416899448766
Mid Michigan College,MI,2-Year (JUCO),2024,105,3763,35.838095238095235,80150,763.3333333333334,3.7636272712118686
Montcalm Community College,MI,2-Year (JUCO),2024,75,9900,132.0,21387,285.16,13.862310385064177
Muskegon Community College,MI,2-Year (JUCO),2024,232,8052,34.706896551724135,168400,725.8620689655172,3.644831609866012
North Central Michigan College,MI,2-Year (JUCO),2024,63,11967,189.95238095238096,114615,1819.2857142857142,19.9483247207868
Northern Michigan University,MI,NCAA D2,2024,483,256337,530.7184265010352,5183585,10732.060041407867,4.2269450013356735
Northwood University,MI,NCAA D2,2024,520,55846,107.39615384615385,4514469,8681.671153846153,0.8553643758999793
Oakland Community College,MI,2-Year (JUCO),2024,65,175,2.6923076923076925,97081,1493.553846153846,0.2827394309307962
Oakland University,MI,NCAA D1 (No Football),2024,95,206518,2173.8736842105263,5106020,53747.57894736842,2.779733474495289
The University of Olivet,MI,NCAA D3,2024,598,16467,27.536789297658864,0,0.0,0.2436516994220352
Kuyper College,MI,Other,2024,54,6349,117.57407407407408,0,0.0,inf
Saginaw Valley State University,MI,NCAA D2,2024,532,84942,159.6654135338346,3577643,6724.892857142857,1.2716666464221944
Schoolcraft Community College District,MI,2-Year (JUCO),2024,214,27612,129.02803738317758,115000,537.3831775700935,13.550202292282359
Siena Heights University,MI,NAIA,2024,827,0,0.0,6146566,7432.3651753325275,0.0
St Clair County Community College,MI,2-Year (JUCO),2024,170,0,0.0,196718,1157.164705882353,0.0
Southwestern Michigan College,MI,2-Year (JUCO),2024,85,3620,42.588235294117645,125451,1475.894117647059,4.4725101242363925
Spring Arbor University,MI,NAIA,2024,436,0,0.0,4131739,9476.465596330276,0.0
Wayne County Community College District,MI,2-Year (JUCO),2024,53,0,0.0,119014,2245.5471698113206,0.0
Wayne State University,MI,NCAA D2,2024,394,70194,178.15736040609136,5174797,13134.002538071067,1.4189470845859484
Western Michigan University,MI,NCAA D1 (FBS),2024,390,880602,2257.9538461538464,8373066,21469.4,0.6274996749735071
Alexandria Technical & Community College,MN,2-Year (JUCO),2024,150,1122,7.48,10000,66.66666666666667,0.7855309218203035
Anoka-Ramsey Community College,MN,2-Year (JUCO),2024,105,0,0.0,0,0.0,0.0
Augsburg University,MN,NCAA D3,2024,417,33504,80.34532374100719,0,0.0,0.7109134786376253
Riverland Community College,MN,2-Year (JUCO),2024,96,0,0.0,0,0.0,0.0
Bemidji State University,MN,NCAA D2,2024,400,167252,418.13,2498123,6245.3075,3.3302263971892403
Bethany Lutheran College,MN,NCAA D3,2024,275,28528,103.73818181818181,0,0.0,0.9178987434494043
Bethel University,MN,NCAA D3,2024,472,29423,62.33686440677966,0,0.0,0.5515705838169065
Central Lakes College-Brainerd,MN,2-Year (JUCO),2024,124,0,0.0,0,0.0,0.0
Carleton College,MN,NCAA D3,2024,398,69228,173.9396984924623,0,0.0,1.539057537773585
Concordia College at Moorhead,MN,NCAA D3,2024,551,65205,118.33938294010889,0,0.0,1.0470934519720467
Concordia University-Saint Paul,MN,NCAA D2,2024,410,100999,246.3390243902439,2565845,6258.158536585366,1.9619848412748053
Dakota County Technical College,MN,2-Year (JUCO),2024,119,1800,15.126050420168067,109125,917.0168067226891,1.5885000441250012
Martin Luther College,MN,NCAA D3,2024,253,0,0.0,0,0.0,0.0
Minnesota State Community and Technical College,MN,2-Year (JUCO),2024,111,3076,27.71171171171171,0,0.0,2.9102147655239836
Minnesota West Community and Technical College,MN,2-Year (JUCO),2024,182,0,0.0,0,0.0,0.0
Gustavus Adolphus College,MN,NCAA D3,2024,859,80032,93.16880093131549,0,0.0,0.8243784863458391
Hamline University,MN,NCAA D3,2024,526,43316,82.34980988593156,0,0.0,0.7286496224704966
Minnesota North College,MN,2-Year (JUCO),2024,415,2850,6.867469879518072,0,0.0,0.7212045381057486
Macalester College,MN,NCAA D3,2024,420,88893,211.65,0,0.0,1.872726759290636
Minnesota State University-Mankato,MN,NCAA D2,2024,635,190345,299.755905511811,3457230,5444.456692913386,2.3874274250802303
University of Minnesota-Twin Cities,MN,NCAA D1 (FBS),2024,607,3287808,5416.487644151565,19021913,31337.58319604613,1.5052762225377847
University of Minnesota-Crookston,MN,NCAA D2,2024,239,72003,301.26778242677824,1697136,7100.987447698745,2.3994688772877373
University of Minnesota-Duluth,MN,NCAA D2,2024,394,198761,504.4695431472081,2994501,7600.256345177665,4.017883885793482
University of Minnesota-Morris,MN,NCAA D3,2024,327,32735,100.10703363914374,0,0.0,0.8857695284159335
Minnesota State University Moorhead,MN,NCAA D2,2024,348,48931,140.60632183908046,1659830,4769.626436781609,1.1198691426116083
North Central University,MN,NCAA D3,2024,207,6308,30.47342995169082,13000,62.80193236714976,0.26963575581337185
Northland Community and Technical College,MN,2-Year (JUCO),2024,89,1939,21.786516853932586,0,0.0,2.287965597262465
University of Northwestern-St Paul,MN,NCAA D3,2024,339,42556,125.53392330383481,0,0.0,1.1107523617757138
Oak Hills Christian College,MN,Other,2024,17,2928,172.23529411764707,0,0.0,inf
Rochester Community and Technical College,MN,2-Year (JUCO),2024,187,0,0.0,0,0.0,0.0
St Cloud Technical and Community College,MN,2-Year (JUCO),2024,87,0,0.0,0,0.0,0.0
Saint Cloud State University,MN,NCAA D2,2024,382,230402,603.1465968586388,2278979,5965.913612565445,4.803804362838102
Saint Mary's University of Minnesota,MN,NCAA D3,2024,349,52188,149.53581661891118,0,0.0,1.3231265072270841
St Olaf College,MN,NCAA D3,2024,584,59440,101.78082191780823,0,0.0,0.9005795832179274
Crown College,MN,NCAA D3,2024,290,17604,60.703448275862065,0,0.0,0.5371177508500917
The College of Saint Scholastica,MN,NCAA D3,2024,486,22425,46.141975308641975,0,0.0,0.4082745659675012
University of St Thomas,MN,NCAA D1 (FCS),2024,558,287617,515.4426523297491,9169641,16433.048387096773,0.7312559057586246
St Catherine University,MN,NCAA D3,2024,162,17300,106.79012345679013,0,0.0,0.9449030088612402
Southwest Minnesota State University,MN,NCAA D2,2024,375,44376,118.336,1412645,3767.0533333333333,0.9424955658235141
Ridgewater College,MN,2-Year (JUCO),2024,74,0,0.0,0,0.0,0.0
Winona State University,MN,NCAA D2,2024,395,62601,158.48354430379746,1781762,4510.7898734177215,1.262253564108332
Century College,MN,2-Year (JUCO),2024,42,0,0.0,0,0.0,0.0
Alcorn State University,MS,NCAA D1 (FCS),2024,330,109837,332.8393939393939,2639736,7999.2,0.472197578891078
Belhaven University,MS,NCAA D3,2024,390,117946,302.425641025641,0,0.0,2.675930029030673
Blue Mountain Christian University,MS,NAIA,2024,323,15915,49.27244582043344,2901338,8982.470588235294,0.7889476255282615
Coahoma Community College,MS,2-Year (JUCO),2024,148,18035,121.85810810810811,556935,3763.074324324324,12.797234223721972
Copiah-Lincoln Community College,MS,2-Year (JUCO),2024,166,28031,168.86144578313252,1002377,6038.415662650603,17.73340737512477
Delta State University,MS,NCAA D2,2024,338,54955,162.5887573964497,1848569,5469.139053254438,1.2949498284453498
East Central Community College,MS,2-Year (JUCO),2024,214,2777,12.976635514018692,916569,4283.032710280374,1.3627738579482875
East Mississippi Community College,MS,2-Year (JUCO),2024,224,0,0.0,2090259,9331.513392857143,0.0
Hinds Community College,MS,2-Year (JUCO),2024,262,26438,100.90839694656489,1145640,4372.67175572519,10.597147870701097
Holmes Community College,MS,2-Year (JUCO),2024,197,22657,115.01015228426395,651305,3306.1167512690354,12.078079003014885
Itawamba Community College,MS,2-Year (JUCO),2024,219,20549,93.8310502283105,688604,3144.310502283105,9.853902591071115
Jackson State University,MS,NCAA D1 (FCS),2024,363,78279,215.64462809917356,3594060,9900.99173553719,0.305933952360934
Jones County Junior College,MS,2-Year (JUCO),2024,229,57588,251.4759825327511,1463633,6391.410480349345,26.40937972922707
Meridian Community College,MS,2-Year (JUCO),2024,221,23625,106.90045248868778,928623,4201.914027149322,11.226418581075729
Millsaps College,MS,NCAA D3,2024,358,32444,90.62569832402235,0,0.0,0.801876543022902
Mississippi Delta Community College,MS,2-Year (JUCO),2024,134,6974,52.04477611940298,367908,2745.582089552239,5.46561242794197
University of Mississippi,MS,NCAA D1 (FBS),2024,408,3295396,8076.950980392156,11677463,28621.232843137255,2.2446358341673998
Mississippi University for Women,MS,NCAA D3,2024,231,11000,47.61904761904762,0,0.0,0.42134403367883544
Mississippi Valley State University,MS,NCAA D1 (FCS),2024,266,2928,11.007518796992482,1521332,5719.293233082707,0.015616311711240302
Mississippi College,MS,NCAA D2,2024,411,39879,97.02919708029196,4120854,10026.408759124088,0.7727960046274256
Mississippi Gulf Coast Community College,MS,2-Year (JUCO),2024,299,24550,82.10702341137124,1116995,3735.769230769231,8.622674570622419
Mississippi State University,MS,NCAA D1 (FBS),2024,386,3181575,8242.422279792747,11371327,29459.396373056996,2.2906213563109024
Northeast Mississippi Community College,MS,2-Year (JUCO),2024,191,97963,512.8952879581152,829511,4342.989528795812,53.86298239933532
Northwest Mississippi Community College,MS,2-Year (JUCO),2024,278,12140,43.669064748201436,1048533,3771.701438848921,4.5860161345835815
Pearl River Community College,MS,2-Year (JUCO),2024,237,20870,88.05907172995781,1097414,4630.438818565401,9.247743822282617
Rust College,MS,NAIA,2024,114,60000,526.3157894736842,490000,4298.245614035088,8.427338758391734
Southeastern Baptist College,MS,Other,2024,64,500,7.8125,33000,515.625,inf
Southwest Mississippi Community College,MS,2-Year (JUCO),2024,214,121578,568.1214953271028,953048,4453.4953271028035,59.662700792811265
University of Southern Mississippi,MS,NCAA D1 (FBS),2024,368,781566,2123.820652173913,6015655,16346.888586956522,0.5902232108115236
Tougaloo College,MS,NAIA,2024,122,14000,114.75409836065573,425000,3483.6065573770493,1.8374361555181977
William Carey University,MS,NAIA,2024,370,17410,47.054054054054056,3791320,10246.81081081081,0.75342686159146
